year,index,metric,order,timeseries
1989,0.210,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1990,-0.179,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1991,-0.068,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1992,0.146,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1993,-0.200,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1994,-0.042,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1995,-0.068,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1996,-0.068,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1997,0.032,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1998,-0.438,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1999,0.226,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2000,-0.003,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2001,0.182,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2002,0.075,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2003,-0.124,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2004,0.059,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2005,-0.218,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2006,-0.147,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2007,-0.014,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2008,0.171,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2009,-0.265,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2010,0.178,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2011,-0.033,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2012,-0.130,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2013,0.079,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2014,0.061,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2015,0.045,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2016,0.155,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2017,0.070,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2018,0.148,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2019,-0.165,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2020,-0.039,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2021,0.085,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2022,0.156,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2023,0.028,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2024,0.047,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
