"year","biomass","lwr95","upr95","log_est","se","timeseries","metric","metric2","max","index","index_upr95","index_lwr95"
2024,81476240.5872199,66986435.2705361,99100329.0952315,18.2158220091718,0.0999106680058405,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.727309604397829,0.884633613805363,0.597964233321247
2003,21645.4829291519,6050.60220573714,77434.7602610449,9.98255207097631,0.65033796376915,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0269151361128849,0.0962864685956117,0.0075236381865617
2004,126.620546809841,3.01917842012009,5310.30652828575,4.84119479361749,1.90626464314172,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.000157446672048371,0.00660311546190817,3.7542058263424e-06
2005,360945.313240764,173308.322137402,751732.62047499,12.796481738972,0.374320267434618,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.448818456348651,0.934744023351423,0.215500716481665
2006,52321.1524518234,17527.517178196,156183.158519015,10.8651560128729,0.557984068252046,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0650588829287444,0.194206384021956,0.0217946401157314
2007,261500.209162718,128691.27100789,531367.503456806,12.4741903623442,0.361750930623907,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.325163164351639,0.660730404043895,0.160021519827242
2008,334287.364957887,138953.414927017,804212.278116242,12.7197562761746,0.447897140748308,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.415670556212981,1,0.172782011302409
2009,30670.5008508645,6339.85669731745,148375.533920334,10.3310565872933,0.80432352609491,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0381373198164867,0.184497971440928,0.00788331249078627
2010,401249.888376217,223711.400959034,719683.80794061,12.9023396752362,0.2980807648861,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.498935292701686,0.894892838028252,0.27817456540585
2011,42351.1288657465,17814.2855426838,100684.257693382,10.6537503553506,0.441841987506639,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0526616292963697,0.125196121015736,0.0221512230382895
2012,27252.5084175803,10609.9794443599,70000.0616349067,10.2129008478762,0.481310147071398,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0338872075932683,0.0870417718551529,0.0131930085290569
2013,41950.9418955058,10593.7485391399,166124.532729657,10.6442561644563,0.702174544862726,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0521640156921879,0.206568013508549,0.0131728261646966
2014,148106.93738729,69223.8367414536,316880.224136821,11.9056898417469,0.388062894967508,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.184163984332856,0.394025598414227,0.0860765728466631
2015,71.7972189320718,2.11608933966511,2436.02221785005,4.27384574176741,1.79813304501916,"Hake","Biomass index","Total biomass (kg)",804212.278116242,8.92764521082009e-05,0.00302907862033156,2.631257190728e-06
2016,75.283792749776,2.20916057682256,2565.5217236146,4.32126487591257,1.80036586889454,"Hake","Biomass index","Total biomass (kg)",804212.278116242,9.36118420451352e-05,0.00319010514192097,2.74698688012725e-06
