time,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order,year
1979,08,1979-08,155.6858367919922,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1979,09,1979-09,71.755126953125,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1979,10,1979-10,92.63626861572266,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1979,11,1979-11,24.176542282104492,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1979,12,1979-12,-10.887336730957031,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1980,01,1980-01,10.795825004577637,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1980,02,1980-02,-6.913110256195068,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1980,03,1980-03,81.16463470458984,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1980,04,1980-04,134.13906860351562,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1980,05,1980-05,244.32620239257812,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1980,06,1980-06,242.3614196777344,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1980,07,1980-07,198.61729431152344,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1980,08,1980-08,189.6599578857422,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1980,09,1980-09,140.0640411376953,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1980,10,1980-10,52.415283203125,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1980,11,1980-11,7.297624588012695,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1980,12,1980-12,-32.39347839355469,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1981,01,1981-01,-1.0642704963684082,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1981,02,1981-02,19.555044174194336,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1981,03,1981-03,61.04570388793945,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1981,04,1981-04,75.18805694580078,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1981,05,1981-05,111.0211944580078,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1981,06,1981-06,89.33771514892578,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1981,07,1981-07,60.86267852783203,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1981,08,1981-08,75.012420654296875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1981,09,1981-09,54.8849983215332,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1981,10,1981-10,31.60042381286621,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1981,11,1981-11,17.9863338470459,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1981,12,1981-12,36.01224899291992,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1982,01,1982-01,29.252016067504883,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1982,02,1982-02,22.827600479125977,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1982,03,1982-03,34.14303207397461,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
