time,index,timeseries,metric
1993-07-15T00:00:00Z,1.483,39N,"m^2 s^(-1)"
1993-07-15T00:00:00Z,0.448,45N,"m^2 s^(-1)"
1993-08-15T00:00:00Z,0.284,33N,"m^2 s^(-1)"
1993-08-15T00:00:00Z,1.049,39N,"m^2 s^(-1)"
1993-08-15T00:00:00Z,0.539,45N,"m^2 s^(-1)"
1993-09-15T00:00:00Z,0.305,33N,"m^2 s^(-1)"
1993-09-15T00:00:00Z,1.13,39N,"m^2 s^(-1)"
1993-09-15T00:00:00Z,0.371,45N,"m^2 s^(-1)"
1993-10-15T00:00:00Z,0.165,33N,"m^2 s^(-1)"
1993-10-15T00:00:00Z,0.355,39N,"m^2 s^(-1)"
1993-10-15T00:00:00Z,0.169,45N,"m^2 s^(-1)"
1993-11-15T00:00:00Z,0.204,33N,"m^2 s^(-1)"
1993-11-15T00:00:00Z,0.691,39N,"m^2 s^(-1)"
1993-11-15T00:00:00Z,0.27,45N,"m^2 s^(-1)"
1993-12-15T00:00:00Z,0.359,33N,"m^2 s^(-1)"
1993-12-15T00:00:00Z,0.029,39N,"m^2 s^(-1)"
1993-12-15T00:00:00Z,-0.602,45N,"m^2 s^(-1)"
1994-01-15T00:00:00Z,0.291,33N,"m^2 s^(-1)"
1994-01-15T00:00:00Z,0.259,39N,"m^2 s^(-1)"
1994-01-15T00:00:00Z,-0.237,45N,"m^2 s^(-1)"
1994-02-15T00:00:00Z,0.199,33N,"m^2 s^(-1)"
1994-02-15T00:00:00Z,0.153,39N,"m^2 s^(-1)"
1994-02-15T00:00:00Z,-0.367,45N,"m^2 s^(-1)"
1994-03-15T00:00:00Z,0.35,33N,"m^2 s^(-1)"
1994-03-15T00:00:00Z,0.494,39N,"m^2 s^(-1)"
1994-03-15T00:00:00Z,0.072,45N,"m^2 s^(-1)"
1994-04-15T00:00:00Z,0.558,33N,"m^2 s^(-1)"
1994-04-15T00:00:00Z,1.277,39N,"m^2 s^(-1)"
1994-04-15T00:00:00Z,0.135,45N,"m^2 s^(-1)"
1994-05-15T00:00:00Z,0.348,33N,"m^2 s^(-1)"
1994-05-15T00:00:00Z,1.066,39N,"m^2 s^(-1)"
1994-05-15T00:00:00Z,0.436,45N,"m^2 s^(-1)"
1994-06-15T00:00:00Z,0.277,33N,"m^2 s^(-1)"
1994-06-15T00:00:00Z,1.439,39N,"m^2 s^(-1)"
1994-06-15T00:00:00Z,0.387,45N,"m^2 s^(-1)"
1994-07-15T00:00:00Z,0.236,33N,"m^2 s^(-1)"
1994-07-15T00:00:00Z,0.948,39N,"m^2 s^(-1)"
1994-07-15T00:00:00Z,0.675,45N,"m^2 s^(-1)"
1994-08-15T00:00:00Z,0.25,33N,"m^2 s^(-1)"
1994-08-15T00:00:00Z,0.995,39N,"m^2 s^(-1)"
1994-08-15T00:00:00Z,0.308,45N,"m^2 s^(-1)"
1994-09-15T00:00:00Z,0.38,33N,"m^2 s^(-1)"
1994-09-15T00:00:00Z,0.64,39N,"m^2 s^(-1)"
1994-09-15T00:00:00Z,0.334,45N,"m^2 s^(-1)"
1994-10-15T00:00:00Z,0.302,33N,"m^2 s^(-1)"
1994-10-15T00:00:00Z,1.159,39N,"m^2 s^(-1)"
1994-10-15T00:00:00Z,0.114,45N,"m^2 s^(-1)"
1994-11-15T00:00:00Z,0.494,33N,"m^2 s^(-1)"
1994-11-15T00:00:00Z,0.458,39N,"m^2 s^(-1)"
1994-11-15T00:00:00Z,-0.163,45N,"m^2 s^(-1)"
1994-12-15T00:00:00Z,0.41,33N,"m^2 s^(-1)"
1994-12-15T00:00:00Z,0.068,39N,"m^2 s^(-1)"
1994-12-15T00:00:00Z,-0.731,45N,"m^2 s^(-1)"
1995-01-15T00:00:00Z,0.233,33N,"m^2 s^(-1)"
1995-01-15T00:00:00Z,-1.197,39N,"m^2 s^(-1)"
1995-01-15T00:00:00Z,-0.737,45N,"m^2 s^(-1)"
1995-02-15T00:00:00Z,0.194,33N,"m^2 s^(-1)"
1995-02-15T00:00:00Z,0.3,39N,"m^2 s^(-1)"
1995-02-15T00:00:00Z,-0.169,45N,"m^2 s^(-1)"
1995-03-15T00:00:00Z,0.428,33N,"m^2 s^(-1)"
1995-03-15T00:00:00Z,0.153,39N,"m^2 s^(-1)"
1995-03-15T00:00:00Z,-0.549,45N,"m^2 s^(-1)"
1995-04-15T00:00:00Z,0.654,33N,"m^2 s^(-1)"
1995-04-15T00:00:00Z,1.254,39N,"m^2 s^(-1)"
1995-04-15T00:00:00Z,0.276,45N,"m^2 s^(-1)"
1995-05-15T00:00:00Z,0.321,33N,"m^2 s^(-1)"
1995-05-15T00:00:00Z,1.507,39N,"m^2 s^(-1)"
