Year,est,lwr,upr,log_est,se,spp
2019,158344057.950491,137437858.007759,182430380.185443,18.8802808054611,0.0722453960507984,shortspine thornyhead
2021,161959010.200455,142551312.707808,184008975.342633,18.9028538377268,0.0651242863132322,shortspine thornyhead
2022,170174915.468059,149561401.539717,193629516.415507,18.9523373805628,0.0658786602536393,shortspine thornyhead
2023,183130515.201105,159387575.265292,210410287.891022,19.0257096544212,0.0708483835044653,shortspine thornyhead
2024,171320040.231947,150197410.050156,195413197.706103,18.9590439455465,0.0671353620678443,shortspine thornyhead
2003,81291150.7494518,50299076.7175693,131379174.756538,18.2135477217236,0.244928195683273,yellowtail rockfish
2004,81199541.4512058,49506854.8748428,133180860.47992,18.2124201579633,0.252452831580093,yellowtail rockfish
2005,96333308.3238281,59705919.7249983,155430254.409568,18.3833246977943,0.244077427058898,yellowtail rockfish
2006,77390895.4617753,47109253.2659141,127137457.827399,18.1643797019482,0.253269808105999,yellowtail rockfish
2007,82891008.2657234,50593373.5093471,135806703.026806,18.2330371493944,0.25189543579374,yellowtail rockfish
2008,75590972.5492219,45799333.347371,124761535.011846,18.1408474232952,0.255651294617296,yellowtail rockfish
2009,79182266.1891092,47509267.7326599,131970699.151248,18.187262919959,0.260631095190385,yellowtail rockfish
2010,88596095.3073077,54178160.8497874,144878821.661447,18.2995983435805,0.250928026535919,yellowtail rockfish
2011,86581129.5878997,52956009.4352379,141556965.501416,18.2765924466463,0.250831308285859,yellowtail rockfish
2012,91570120.5392946,56975485.8775912,147170082.824671,18.3326155814453,0.242088081321783,yellowtail rockfish
2013,79021738.7156356,48051236.6700223,129953683.242827,18.1852335461936,0.253808294396651,yellowtail rockfish
2014,101605431.327768,60932537.3753281,169427765.853746,18.4366075496303,0.260887285787314,yellowtail rockfish
2015,96292336.5298627,58788034.3884474,157722811.63737,18.3828992944726,0.251765033949312,yellowtail rockfish
2016,125768067.609003,77278867.1467764,204682177.859314,18.6499500354225,0.248483620401598,yellowtail rockfish
2017,118614727.490466,72142003.8031842,195024435.63976,18.591391214647,0.25370068477052,yellowtail rockfish
2018,103905702.922885,64714389.5153281,166831444.764561,18.4589943431376,0.241586176323728,yellowtail rockfish
2019,107084933.972278,64736813.8227577,177135425.837347,18.4891328529949,0.256786485203228,yellowtail rockfish
2021,81657264.8290787,49638020.0876891,134330678.129122,18.2180413486717,0.253970848706429,yellowtail rockfish
2022,92697172.2596601,56852661.0272375,151140959.625802,18.34484852586,0.249430573614555,yellowtail rockfish
2023,100584297.677142,63001629.5709561,160586337.33925,18.4265067167388,0.238696001662317,yellowtail rockfish
2024,90853900.9544716,55924227.2869838,147600274.855584,18.3247632902938,0.247583652469108,yellowtail rockfish
