year,index,timeseries_original,timeseries,,
2007,1.821449,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2008,1.824879,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2009,1.843053,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2010,1.89151,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2011,1.846834,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2012,1.844779,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2013,1.800114,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2014,1.816398,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2015,1.841783,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2016,1.816407,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2017,1.820088,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2018,1.845665,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2019,1.857139,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2020,1.818933,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2021,1.752041,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2022,1.796028,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2023,1.740151,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1981,1.501992,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1982,1.513709,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1983,1.628077,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1984,1.524894,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1985,1.411035,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1986,1.346547,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1987,1.433026,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1988,1.441451,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1989,1.437681,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1990,1.401773,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1991,1.387653,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1992,1.445115,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1993,1.394665,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1994,1.39927,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1995,1.408363,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1996,1.356161,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1997,1.425908,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1998,1.391574,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1999,1.365115,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2000,1.371495,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2001,1.397218,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2002,1.345519,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2003,1.34407,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2004,1.359614,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2005,1.366735,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2006,1.392345,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2007,1.395655,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2008,1.37721,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2009,1.357375,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2010,1.372477,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2011,1.399843,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2012,1.394586,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2013,1.366168,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2014,1.377321,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2015,1.433015,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2016,1.395954,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2017,1.4066,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2018,1.402753,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2019,1.399216,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2020,1.392226,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2021,1.367965,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2022,1.353567,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
2023,1.338027,Annual ESI: vessels w/ avg. rev $5K-$25K,vess_rev_5_25k,,
1981,2.043344,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1982,1.992092,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1983,1.951638,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1984,2.125615,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1985,1.965367,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1986,1.91287,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1987,1.879874,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1988,2.03965,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1989,1.811782,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1990,1.917142,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1991,1.907097,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1992,1.812634,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1993,1.854239,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1994,1.866427,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1995,1.836787,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1996,1.657799,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1997,1.696131,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1998,1.758627,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1999,1.629022,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2000,1.726708,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2001,1.728487,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2002,1.709955,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2003,1.637893,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2004,1.671504,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2005,1.69753,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2006,1.708871,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2007,1.639917,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2008,1.702644,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2009,1.675604,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2010,1.759511,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2011,1.665824,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2012,1.666689,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2013,1.697185,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2014,1.619744,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2015,1.63971,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2016,1.655475,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2017,1.708806,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2018,1.733128,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2019,1.669295,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2020,1.751219,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2021,1.698228,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2022,1.630712,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
2023,1.591388,Annual ESI: vessels w/ avg. rev $25K-$100K,vess_rev_25-100k,,
1981,2.132521,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1982,2.241544,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1983,2.017793,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1984,2.223668,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1985,2.189283,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1986,2.266882,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1987,2.380176,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1988,2.527997,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1989,1.996124,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1990,2.329037,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1991,2.423318,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1992,2.424615,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1993,2.460582,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1994,2.452137,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
